shoes,total_hands,initial_balance,strategy,card_counting,betting,wins[num],losses[num],ties[num],win_rate[num]%,winrate[balance]%,median,std,min_balance,max_balance,sharpe_like,brokes,broke_rate%,profit_count[num],profit_rate%,performance[sec]
26000,1116827,5000,stand19,dont,30p,416063,634064,66489,37.26106378558072,7.167152307692308,59.0,1823.0008724529866,0,115485,-2.5461547796023276,410,1.5769230769230769,245,0.9423076923076923,23.041
26000,1126944,5000,stand18,dont,30p,460192,580530,86181,40.83687770819671,22.920906153846154,171.0,4943.621256371899,0,235714,-0.779581301326488,75,0.2884615384615385,1088,4.184615384615385,22.775
26000,1138092,5000,stand17,dont,30p,473788,559756,104524,41.630904304487956,36.447478461538466,287.0,10033.355243299065,0,687004,-0.31670622636882156,38,0.14615384615384616,1767,6.796153846153846,23.831
26000,1150376,5000,stand16,dont,30p,485353,567007,97994,42.19162101405306,40.21917230769231,287.0,9959.723889576124,0,528534,-0.3001128763964756,45,0.17307692307692307,1874,7.207692307692308,23.101
26000,1163882,5000,stand15,dont,30p,494607,577390,91841,42.497924968938975,36.19758846153846,262.0,8841.873509874555,0,755014,-0.3607969027560017,68,0.26153846153846155,1827,7.026923076923077,23.221
26000,1178773,5000,stand14,dont,30p,501094,592014,85618,42.51149122018179,36.66369769230769,237.0,10331.55791974895,0,625227,-0.3065186431691192,80,0.3076923076923077,1667,6.411538461538462,23.795
26000,1191191,5000,random,hilo,card_counting,385002,761067,45122,32.320761322071775,75.59758384615385,3971.0,804.086614470266,626,8944,-1.517399725023561,0,0.0,547,2.103846153846154,23.160
26000,1116920,5000,stand19,hilo,card_counting,415360,634309,67251,37.18798123410808,84.42349999999999,4343.0,766.313808752491,840,10231,-1.0163264593494357,0,0.0,2650,10.192307692307692,23.908
26000,1126922,5000,stand18,hilo,card_counting,459745,580731,86446,40.79652362807719,90.9216223076923,4608.0,775.331824827931,983,11104,-0.5854511192238533,0,0.0,5840,22.46153846153846,23.789
26000,1138199,5000,stand17,hilo,card_counting,473372,559870,104957,41.5895638636126,93.56346769230768,4712.0,787.9146547370691,1193,12128,-0.4084536484373556,0,0.0,7523,28.934615384615388,23.531
26000,1150207,5000,stand16,hilo,card_counting,485428,566849,97930,42.20353379869884,94.05225538461538,4739.0,800.004035273887,1281,12897,-0.3717321634101737,0,0.0,7886,30.330769230769235,24.066
26000,1164204,5000,stand15,hilo,card_counting,494955,577710,91539,42.514456229320636,94.06439307692308,4744.0,804.548981241141,1258,12269,-0.3688779093300405,0,0.0,8084,31.092307692307692,23.683
26000,1179164,5000,stand14,hilo,card_counting,500427,592791,85946,42.43913484468658,93.63756076923076,4705.0,814.3154431295434,1154,12084,-0.39066183040305424,0,0.0,7654,29.438461538461542,24.664
26000,66827,5000,random,dont,full,13279,26000,1548,32.52504470081074,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.371
26000,71976,5000,stand19,dont,full,17198,26000,2778,37.40647294240473,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.475
26000,76468,5000,stand18,dont,full,20526,26000,3942,40.67131647776809,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.526
26000,78999,5000,stand17,dont,full,22143,26000,4856,41.78003358553935,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.563
26000,78635,5000,stand16,dont,full,22100,26000,4535,41.987270827396216,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.689
26000,78646,5000,stand15,dont,full,22408,26000,4238,42.56353759070014,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.906
26000,77549,5000,stand14,dont,full,21727,26000,3822,42.148247298686684,0.0,0.0,0.0,0,0,0.0,26000,100.0,0,0.0,10.560
26000,1191016,5000,random,hilo,card_counting,383894,761964,45158,32.232480504040254,75.31253307692307,3965.0,809.0440303025221,692,10345,-1.5257183786304966,0,0.0,478,1.8384615384615384,22.841
26000,1117344,5000,stand19,hilo,card_counting,415289,634830,67225,37.167515107254346,84.31693461538462,4341.0,761.5709031707137,904,9008,-1.0296523488043416,0,0.0,2528,9.723076923076924,24.065
26000,1126982,5000,stand18,hilo,card_counting,460024,580012,86946,40.819108024795426,91.13297538461539,4609.0,766.841244628676,878,11679,-0.578152562704048,0,0.0,5831,22.426923076923078,23.660
26000,1138097,5000,stand17,hilo,card_counting,474297,558578,105222,41.67456728205065,93.62736384615384,4704.0,791.8440317304535,911,15363,-0.40239213143526154,0,0.0,7589,29.188461538461542,23.658
26000,1150371,5000,stand16,hilo,card_counting,485351,566788,98232,42.19082365602054,94.04153461538462,4737.0,811.1572557396399,1368,12851,-0.3672817658015194,0,0.0,7946,30.56153846153846,24.488
26000,1163875,5000,stand15,hilo,card_counting,494003,578011,91861,42.44467833745033,94.03953769230769,4742.0,816.2010187732955,1306,13094,-0.3651344565001001,0,0.0,8000,30.76923076923077,23.941
26000,1179173,5000,stand14,hilo,card_counting,500682,592536,85955,42.46043625490068,93.59782076923076,4708.0,813.0330568798337,1090,18792,-0.39372195119216885,0,0.0,7728,29.723076923076924,24.649
26000,1167199,5000,random,dont,ma,376471,745393,43927,32.29318119628647,92.1952776923077,5012.0,1260.1563778049406,0,5027,-0.30967276939419625,1448,5.569230769230769,19882,76.46923076923076,21.800
26000,1111726,5000,stand19,dont,ma,413998,630933,66410,37.252112537915906,97.68171461538462,5014.0,713.676766374531,0,5033,-0.1624184430433579,398,1.5307692307692307,22540,86.6923076923077,21.983
